POPULATION;NOMEN;pomme_cuite_lave;pomme_cuite_essuie;pomme_cuite_epluche;pomme_cuite_rien;pomme_cuite_cuisine_pas;peche_cuite_lave;peche_cuite_essuie;peche_cuite_epluche;peche_cuite_rien;peche_cuite_cuisine_pas;raisin_cuit_lave;raisin_cuit_essuie;raisin_cuit_epluche;raisin_cuit_rien;raisin_cuit_cuisine_pas;fraise_cuite_lave;fraise_cuite_essuie;fraise_cuite_epluche;fraise_cuite_rien;fraise_cuite_cuisine_pas;tomate_cuite_lave;tomate_cuite_essuie;tomate_cuite_epluche;tomate_cuite_rien;tomate_cuite_cuisine_pas;champignon_cuit_lave;champignon_cuit_essuie;champignon_cuit_epluche;champignon_cuit_rien;champignon_cuit_cuisine_pas;chou_cuit_lave;chou_cuit_essuie;chou_cuit_epluche;chou_cuit_rien;chou_cuit_cuisine_pas;concombre_cuit_lave;concombre_cuit_essuie;concombre_cuit_epluche;concombre_cuit_rien;concombre_cuit_cuisine_pas;recip_cuisson_inox;recip_cuisson_alu;recip_cuisson_metal;recip_cuisson_ceramique;recip_cuisson_fonte;recip_cuisson_antiadhesif;recip_cuisson_autre;recip_cuisson_autre_libelle;recip_cuisson_nsp;four_ondes;four_ondes_vaisselle_maison;four_ondes_vaiss_maison_libelle;four_ondes_vaisselle;four_ondes_vaiss_libelle;choix_aliment_origine;choix_aliment_prix;choix_aliment_offres_promo;choix_aliment_habitude;choix_aliment_marque;choix_aliment_facilite_prepa;choix_aliment_apparence;choix_aliment_mode_prod;choix_aliment_gout;choix_aliment_prod_nouveau;choix_aliment_pub;choix_aliment_signe_quali;choix_aliment_compo_nutri;choix_aliment_ingredients;choix_aliment_raison_sante;choix_aliment_autres_infos;choix_prod_identiques;lieu_achat_fruits_frais;lieu_achat_legumes_frais;lieu_achat_pain;lieu_achat_patisseries;lieu_achat_viandes;lieu_achat_poissons_frais;suivi_instruction_conserv;refroidit_viandes;refroidit_quiches;refroidit_legumes;refroidit_soupes;refroidit_feculents;refroidit_cremesdessert;refroidit_patisseries;fin_conso_platmaison;conso_dlc_jambon;conso_dlc_saumon;conso_dlc_platscuisines;conso_dlc_viandepreemballee;conso_dlc_beurre;conso_apresachat_jamboncoupe;conso_apresachat_autrecharcut;conso_apresachat_platscuisines;conso_apresachat_entreesfroides;conso_apresachat_fromagecoupe;conso_apresachat_viande;temp_frigo;partie_froide_frigo;eaupuits_utilisation;eaupuits_boisson;eaupuits_prepa_repas;eaupuits_arr_jardin;eaupuits_arr_potager;eaupuits_piscine;eaupuits_toilette;eaupuits_wc;eaupuits_lave_linge;eaupuits_boisson_animaux;eaupuits_nettoyage;eaupuits_rien;eaupuits_autre;eaupuits_autre_libelle;eaupuits_nsp;eaupuits_conso_enfant;eaupuits_traitement;eaurobinet;eaurobinet_conso;eaurobinet_traitement;eaurobinet_trait_circeau;eaurobinet_trait_toutcirc;eaurobinet_trait_ptusage;eaurobinet_trait_ptconso;eaurobinet_trait_nsp;trait_carafe;trait_carafe_marque_libelle;trait_carafe_gout;trait_carafe_contaminant;trait_carafe_bacteries;trait_carafe_entartrage;trait_adoucisseur;trait_adoucisseur_gout;trait_adoucisseur_contaminant;trait_adoucisseur_bacteries;trait_adoucisseur_entartrage;trait_cartouche;trait_cartouche_gout;trait_cartouche_contaminant;trait_cartouche_bacteries;trait_cartouche_entartrage;trait_ultraviolet;trait_ultraviolet_gout;trait_ultraviolet_contaminant;trait_ultraviolet_bacteries;trait_ultraviolet_entartrage;trait_cart_refrig;trait_cart_refrig_gout;trait_cart_refrig_contaminant;trait_cart_refrig_bacteries;trait_cart_refrig_entartrage;trait_osmoseur;trait_osmoseur_gout;trait_osmoseur_contaminant;trait_osmoseur_bacteries;trait_osmoseur_entartrage;trait_autre;trait_autre_libelle;trait_autre_gout;trait_autre_contaminant;trait_autre_bacteries;trait_autre_entartrage;trait_nsp;eau_boisson;bouilloire_elec;bouilloire_elec_type
Pop2 Ménage;1106004;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;EN PIERRE;0;1;;;;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;3;1;4;1;3;2;2;3;2;2;3;2;1;1;9;1;1;2;3;7;7;4;2;8;1;2;;;;;;;;;;;;;;;;;1;4;1;0;0;0;1;0;1;NE SAIS PAS;1;0;1;1;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;0;2;1;2
Pop2 Ménage;1106013;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;;0;1;;;1;;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;3;3;1;4;2;2;5;1;3;2;1;1;3;2;1;1;1;3;2;2;2;2;3;3;5;3;1;0;0;1;1;0;0;;;;;0;0;;0;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1106020;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;;0;1;;;5;;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;1;1;3;3;3;1;2;2;2;2;2;2;2;2;3;2;2;2;2;3;1;1;2;2;2;1;6;3;2;;;;;;;;;;;;;;;;;1;4;1;0;1;0;0;0;0;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;1;1;3;
Pop2 Ménage;1106027;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;;0;1;;;5;;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;4;4;3;3;3;4;1;2;6;2;6;2;6;6;2;3;6;4;3;5;1;1;1;2;3;1;7;3;2;;;;;;;;;;;;;;;;;1;5;2;1;1;0;0;0;0;;;;;;1;0;0;0;1;1;0;0;0;1;0;;;;;;;;;;;;;;;0;;;0;0;;0;1;3;
Pop2 Ménage;1106030;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;;0;1;;;6;;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;4;1;1;1;1;1;3;5;6;5;5;6;5;1;1;1;9;1;1;1;2;7;2;2;2;6;3;2;;;;;;;;;;;;;;;;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1106033;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;;0;1;;;8;;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;3;1;4;1;1;1;1;5;5;1;1;1;1;9;1;1;1;1;1;1;2;7;1;7;1;1;0;0;0;1;0;0;;;;;0;0;;0;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1106045;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;;0;0;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;3;3;3;1;1;1;1;1;5;5;1;1;2;9;1;9;9;1;7;7;7;7;7;7;5;4;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1106049;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;;;;;;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;;0;1;;;6;;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2;2;3;3;3;1;3;2;2;2;2;2;2;8;3;1;1;9;9;1;2;2;7;2;3;1;18;1;2;;;;;;;;;;;;;;;;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Pop2 Ménage;1106051;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;;0;1;;;5;;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;3;1;1;2;1;2;1;2;3;6;2;2;1;1;1;1;1;2;2;2;7;4;2;7;1;2;;;;;;;;;;;;;;;;;1;3;1;0;0;0;1;0;1;TERRAILLON;0;1;0;0;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;0;1;1;1
Pop2 Ménage;1106069;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;;0;0;;;;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;3;3;3;1;3;3;4;4;3;4;2;2;9;9;9;9;1;1;7;7;2;2;2;8;3;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2
Pop2 Ménage;1106073;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;;0;1;;;1;;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;3;3;1;1;1;1;2;2;8;5;8;8;3;1;1;2;1;4;1;1;1;2;3;1;6;4;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1107020;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;0;0;;;;;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;2;2;3;3;3;1;2;4;4;3;4;3;4;3;2;1;1;9;9;3;2;1;7;7;4;2;7;2;2;;;;;;;;;;;;;;;;;1;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1107022;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;;0;1;;;5;;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2;3;1;3;3;1;1;2;2;3;3;8;3;8;3;3;3;9;9;2;1;7;6;7;7;6;2;9;3;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3
Pop2 Ménage;1109003;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;;0;1;;;1;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;3;3;3;1;2;2;2;2;2;2;2;5;3;2;2;2;2;2;2;2;1;7;4;2;7;1;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2
Pop2 Ménage;1112001;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;1;1;;;1;;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;2;3;3;2;2;1;1;1;1;1;2;1;2;2;1;1;1;9;1;2;2;1;7;2;2;5;3;2;;;;;;;;;;;;;;;;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2
Pop2 Ménage;1112003;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;;0;1;;;6;;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;4;1;2;3;3;1;4;2;3;2;2;2;2;1;3;3;1;9;9;3;6;7;7;7;2;4;7;5;2;1;1;1;1;1;0;1;;1;;;0;0;;0;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1112006;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;;0;0;;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;4;3;3;4;4;3;1;1;3;6;3;3;3;3;5;4;1;1;9;1;9;7;7;7;7;7;2;18;3;2;;;;;;;;;;;;;;;;;1;3;1;0;0;0;1;0;1;BRITA;1;1;0;1;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;0;2;1;1
Pop2 Ménage;1112007;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;;0;1;;;6;;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;4;1;2;3;4;2;4;1;3;2;3;3;3;3;6;2;3;9;9;1;1;2;3;7;3;7;2;8;1;2;;;;;;;;;;;;;;;;;1;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1112008;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;;0;0;;;;;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;1;1;1;1;2;2;2;2;2;2;2;5;3;3;2;3;2;6;3;3;2;2;3;2;9;3;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
Pop2 Ménage;1112013;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;;0;0;;;;;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2;2;3;3;3;3;1;4;4;4;4;4;4;4;4;1;1;9;1;1;3;3;7;7;3;2;11;3;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3
Pop2 Ménage;1112022;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;;0;1;;;6;;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;3;3;3;3;3;1;2;3;3;3;3;3;3;3;4;2;2;9;9;4;2;2;7;7;4;2;8;4;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Pop2 Ménage;1112031;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;;0;0;;;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;2;2;3;2;3;3;3;4;3;4;3;1;1;4;5;5;4;9;6;3;7;7;7;4;2;9;3;2;;;;;;;;;;;;;;;;;1;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2
Pop2 Ménage;1112039;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;;0;1;;;6;;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;2;4;3;3;4;4;2;5;8;5;5;5;8;8;2;3;9;9;9;3;7;7;7;7;4;7;18;4;2;;;;;;;;;;;;;;;;;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
Pop2 Ménage;1113004;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;;0;1;;;1;;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;;;3;1;;1;3;2;;5;;1;4;3;1;;2;;3;2;;3;4;;1;6;1;1;;;;;;;;;;;;;;;;;1;5;1;1;0;0;0;0;0;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;1;2;3;
Pop2 Ménage;1113007;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;;0;1;;;1;;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;4;2;2;3;5;3;3;1;5;8;5;5;5;8;8;3;1;1;9;1;1;2;2;7;7;3;1;18;1;2;;;;;;;;;;;;;;;;;1;5;2;0;1;1;0;0;1;NE SAIS PAS;0;0;0;1;0;;;;;0;;;;;0;;;;;;;;;;;;;;;0;;;;;;0;2;1;1
